"","X","UNICODE","codeLoc","LATITUDE","LONGITUDE","check","recent_insp","condition","probability","uncertainty","recentinsp","not_sprayed","group_num","order","color"
"1438",1438,"1.8.6.50","1.8.6",-16.44852575,-71.51440124,0,"2007-07-23",1,0.0695277295888754,0.130826595967211,51,0,14,9,"gray"
"1383",1383,"1.8.6.49","1.8.6",-16.44856191,-71.51432141,0,"2007-07-16",1,0.0685821398955806,0.128665042988322,42,0,14,10,"gray"
"70",70,"1.8.3.21","1.8.3",-16.45083745,-71.50938829,0,NA,0,0.132977104421474,0.200914014262057,1,1,15,1,"blue"
"82",82,"1.8.3.32","1.8.3",-16.45096749,-71.50920138,0,NA,0,0.126730851010266,0.190908824900174,1,1,15,2,"gray"
"85",85,"1.8.3.35","1.8.3",-16.45090896,-71.50933568,0,NA,0,0.126570902075438,0.190643504931628,1,1,15,3,"gray"
"83",83,"1.8.3.33","1.8.3",-16.45102859,-71.50928603,0,NA,0,0.125546621366029,0.188974921090665,1,1,15,4,"gray"
"71",71,"1.8.3.22","1.8.3",-16.45081674,-71.5092747,0,NA,0,0.123139864607454,0.185004756681561,1,1,15,5,"gray"
"84",84,"1.8.3.34","1.8.3",-16.45096832,-71.50931453,0,NA,0,0.122275333031918,0.183571650252975,1,1,15,6,"gray"
"1262",1262,"1.8.2.71","1.8.2",-16.45226717,-71.51079199,0,NA,0,0.132266094050067,0.202225864701942,42,1,16,1,"blue"
"1337",1337,"1.8.4.37","1.8.4",-16.45178089,-71.51109395,0,NA,0,0.127440204443226,0.196229440780405,39,1,16,2,"gray"
"1335",1335,"1.8.4.35","1.8.4",-16.45172942,-71.51134706,0,NA,0,0.119134122446091,0.184827253738998,39,1,16,3,"gray"
"1336",1336,"1.8.4.36","1.8.4",-16.45181614,-71.51128467,0,"2007-07-16",1,0.0731134343391187,0.140834312589577,42,0,16,4,"gray"
"1338",1338,"1.8.4.38","1.8.4",-16.45167631,-71.51113247,0,"2007-01-23",1,0.071846081730439,0.137569823285927,39,0,16,5,"gray"
"1339",1339,"1.8.4.39","1.8.4",-16.45156564,-71.51120871,0,"2007-07-09",1,0.0692874142363811,0.132774398501885,39,0,16,6,"gray"
"1310",1310,"1.8.4.40","1.8.4",-16.45150484,-71.51128973,0,"2007-07-10",1,0.068003495409407,0.130377652365527,40,0,16,7,"gray"
"1170",1170,"1.8.2.43","1.8.2",-16.45400737,-71.5123927,0,NA,0,0.132223996668959,0.190166130090194,42,1,17,1,"blue"
"1172",1172,"1.8.2.45","1.8.2",-16.45396068,-71.51224137,0,"2007-07-13",2,0.0871412913614261,0.154082687518991,41,0,17,2,"gray"
